LocationName,Latitude,Longitude,SiteName,UnitCode
VF08,32.35814657,-90.83871731,Vicksburg NMP,VICKS
VF29,32.36218032,-90.83868566,Vicksburg NMP,VICKS
VF27,32.36629063,-90.84065471,Vicksburg NMP,VICKS
VF31,32.37886376,-90.85689645,Vicksburg NMP,VICKS
VF57,32.35492268,-90.84532946,Vicksburg NMP,VICKS
VF03,32.35311128,-90.8491243,Vicksburg NMP,VICKS
VF36,32.33999896,-90.85817341,Vicksburg NMP,VICKS
VF38,32.34086838,-90.85123104,Vicksburg NMP,VICKS
VF32,32.37366765,-90.84456919,Vicksburg NMP,VICKS
VF33,32.37616425,-90.84637175,Vicksburg NMP,VICKS
VF17,32.3708121,-90.86272014,Vicksburg NMP,VICKS
VF12,32.37171769,-90.84948223,Vicksburg NMP,VICKS
VF42,32.35812259,-90.84609215,Vicksburg NMP,VICKS
VO08,32.36933566,-90.87041525,Vicksburg NMP,VICKS
VM05,32.37669317,-90.85719945,Vicksburg NMP,VICKS
VM14,32.34113229,-90.8551008,Vicksburg NMP,VICKS
VM07,32.3592075,-90.8418527,Vicksburg NMP,VICKS
VM25,32.37169566,-90.85376974,Vicksburg NMP,VICKS
VM51,32.36286451,-90.84634686,Vicksburg NMP,VICKS
VM53,32.37679229,-90.85051001,Vicksburg NMP,VICKS
VM54,32.37794349,-90.86638435,Vicksburg NMP,VICKS
VE119,32.37392255,-90.83762967,Vicksburg NMP,VICKS
VM41,32.37846042,-90.843182,Vicksburg NMP,VICKS
VE106,32.37194102,-90.86990466,Vicksburg NMP,VICKS
VM16,32.37684101,-90.85470946,Vicksburg NMP,VICKS
VM52,32.34780301,-90.84840372,Vicksburg NMP,VICKS
VM28,32.3741065,-90.84702095,Vicksburg NMP,VICKS
VM06,32.37548915,-90.86527528,Vicksburg NMP,VICKS
VE110,32.37346213,-90.83525772,Vicksburg NMP,VICKS
VM39,32.33835972,-90.85640624,Vicksburg NMP,VICKS
VM29,32.34747324,-90.85505088,Vicksburg NMP,VICKS
VM26,32.37698568,-90.86262711,Vicksburg NMP,VICKS
BP 01,29.7994003,-90.1232986,Jean Lafitte Barataria Unit,JELA_BA
BP 02,29.7889996,-90.1130981,Jean Lafitte Barataria Unit,JELA_BA
BP 03,29.7952995,-90.1010971,Jean Lafitte Barataria Unit,JELA_BA
BP 04,29.7929993,-90.1243973,Jean Lafitte Barataria Unit,JELA_BA
BP 05,29.8057995,-90.1213989,Jean Lafitte Barataria Unit,JELA_BA
BP 06,29.7842007,-90.1083984,Jean Lafitte Barataria Unit,JELA_BA
BP 07,29.7931004,-90.1039963,Jean Lafitte Barataria Unit,JELA_BA
BP 08,29.7877007,-90.1020966,Jean Lafitte Barataria Unit,JELA_BA
BP 11,29.7924995,-90.1115036,Jean Lafitte Barataria Unit,JELA_BA
BP 13,29.7933998,-90.1327972,Jean Lafitte Barataria Unit,JELA_BA
BP 14,29.7912006,-90.1289978,Jean Lafitte Barataria Unit,JELA_BA
BP 16,29.8031998,-90.1131973,Jean Lafitte Barataria Unit,JELA_BA
BP 17,29.7896004,-90.1203003,Jean Lafitte Barataria Unit,JELA_BA
BP 19,29.7817001,-90.110199,Jean Lafitte Barataria Unit,JELA_BA
BP 20,29.7642002,-90.1036987,Jean Lafitte Barataria Unit,JELA_BA
BP 23,29.8008003,-90.1155014,Jean Lafitte Barataria Unit,JELA_BA
