SiteName,UnitCode,LocationName,Datum,Latitude,Longitude
Vicksburg NMP,VICK,VF43,NAD83,32.3503668,-90.84442383
Vicksburg NMP,VICK,VF47,NAD83,32.35224954,-90.84511964
Vicksburg NMP,VICK,VF40,NAD83,32.35608343,-90.83911905
Vicksburg NMP,VICK,VF08,NAD83,32.35814657,-90.83871731
Vicksburg NMP,VICK,VF29,NAD83,32.36218032,-90.83868566
Vicksburg NMP,VICK,VF16,NAD83,32.36210983,-90.84251327
Vicksburg NMP,VICK,VF58,NAD83,32.36468486,-90.84338174
Vicksburg NMP,VICK,VF27,NAD83,32.36629063,-90.84065471
Vicksburg NMP,VICK,VF24,NAD83,32.37509886,-90.83918841
Vicksburg NMP,VICK,VF21,NAD83,32.37487974,-90.83302024
Vicksburg NMP,VICK,VF31,NAD83,32.37886376,-90.85689645
Vicksburg NMP,VICK,VF57,NAD83,32.35492268,-90.84532946
Vicksburg NMP,VICK,VF03,NAD83,32.35311128,-90.8491243
Vicksburg NMP,VICK,VF20,NAD83,32.34697385,-90.85163015
Vicksburg NMP,VICK,VF36,NAD83,32.33999896,-90.85817341
Vicksburg NMP,VICK,VF28,NAD83,32.33363557,-90.8613996
Vicksburg NMP,VICK,VF01,NAD83,32.33561994,-90.85750621
Vicksburg NMP,VICK,VF38,NAD83,32.34086838,-90.85123104
Vicksburg NMP,VICK,VF32,NAD83,32.37366765,-90.84456919
Vicksburg NMP,VICK,VF56,NAD83,32.37993652,-90.86122007
Vicksburg NMP,VICK,VF33,NAD83,32.37616425,-90.84637175
Vicksburg NMP,VICK,VF55,NAD83,32.37151251,-90.86781937
Vicksburg NMP,VICK,VF17,NAD83,32.3708121,-90.86272014
Vicksburg NMP,VICK,VF12,NAD83,32.37171769,-90.84948223
Vicksburg NMP,VICK,VF42,NAD83,32.35812259,-90.84609215
Vicksburg NMP,VICK,VO01,NAD83,32.37515603,-90.86901404
Vicksburg NMP,VICK,VO08,NAD83,32.36933566,-90.87041525
Vicksburg NMP,VICK,VO09,NAD83,32.35467382,-90.84139177
Vicksburg NMP,VICK,VO10,NAD83,32.34351452,-90.85122874
Vicksburg NMP,VICK,VO12,NAD83,32.3376622,-90.86135267
Vicksburg NMP,VICK,VO15,NAD83,32.34439144,-90.85347086
Vicksburg NMP,VICK,VO20,NAD83,32.37441176,-90.87031608
Vicksburg NMP,VICK,VM40,NAD83,32.34229445,-90.85769123
Vicksburg NMP,VICK,VE118,NAD83,32.36838848,-90.84110403
Vicksburg NMP,VICK,VM05,NAD83,32.37669317,-90.85719945
Vicksburg NMP,VICK,VM14,NAD83,32.34113229,-90.8551008
Vicksburg NMP,VICK,VE105,NAD83,32.35514307,-90.84793848
Vicksburg NMP,VICK,VM07,NAD83,32.3592075,-90.8418527
Vicksburg NMP,VICK,VM25,NAD83,32.37169566,-90.85376974
Vicksburg NMP,VICK,VM51,NAD83,32.36286451,-90.84634686
Vicksburg NMP,VICK,VM53,NAD83,32.37679229,-90.85051001
Vicksburg NMP,VICK,VM54,NAD83,32.37794349,-90.86638435
Vicksburg NMP,VICK,VE119,NAD83,32.37392255,-90.83762967
Vicksburg NMP,VICK,VE102,NAD83,32.36988473,-90.84440828
Vicksburg NMP,VICK,VM41,NAD83,32.37846042,-90.843182
Vicksburg NMP,VICK,VM27,NAD83,32.37495816,-90.85336269
Vicksburg NMP,VICK,VE106,NAD83,32.37194102,-90.86990466
Vicksburg NMP,VICK,VM17,NAD83,32.35064019,-90.84847205
Vicksburg NMP,VICK,VM16,NAD83,32.37684101,-90.85470946
Vicksburg NMP,VICK,VM52,NAD83,32.34780301,-90.84840372
Vicksburg NMP,VICK,VM28,NAD83,32.3741065,-90.84702095
Vicksburg NMP,VICK,VM06,NAD83,32.37548915,-90.86527528
Vicksburg NMP,VICK,VE110,NAD83,32.37346213,-90.83525772
Vicksburg NMP,VICK,VM39,NAD83,32.33835972,-90.85640624
Vicksburg NMP,VICK,VE114,NAD83,32.37228091,-90.86589692
Vicksburg NMP,VICK,VM29,NAD83,32.34747324,-90.85505088
Vicksburg NMP,VICK,VM50,NAD83,32.37568732,-90.85930472
Vicksburg NMP,VICK,VM15,NAD83,32.37090497,-90.87172637
Vicksburg NMP,VICK,VM26,NAD83,32.37698568,-90.86262711
Vicksburg NMP,VICK,VE113,NAD83,32.37289798,-90.85621211
Jean Lafitte Barataria Unit,JELA,BP 01,WGS84,29.7994003,-90.1232986
Jean Lafitte Barataria Unit,JELA,BP 02,WGS84,29.7889996,-90.1130981
Jean Lafitte Barataria Unit,JELA,BP 03,WGS84,29.7952995,-90.1010971
Jean Lafitte Barataria Unit,JELA,BP 04,WGS84,29.7929993,-90.1243973
Jean Lafitte Barataria Unit,JELA,BP 05,WGS84,29.8057995,-90.1213989
Jean Lafitte Barataria Unit,JELA,BP 06,WGS84,29.7842007,-90.1083984
Jean Lafitte Barataria Unit,JELA,BP 07,WGS84,29.7931004,-90.1039963
Jean Lafitte Barataria Unit,JELA,BP 08,WGS84,29.7877007,-90.1020966
Jean Lafitte Barataria Unit,JELA,BP 09,WGS84,29.8715992,-90.1259003
Jean Lafitte Barataria Unit,JELA,BP 10,WGS84,29.8194008,-90.1113968
Jean Lafitte Barataria Unit,JELA,BP 11,WGS84,29.7924995,-90.1115036
Jean Lafitte Barataria Unit,JELA,BP 12,WGS84,29.8481007,-90.1311035
Jean Lafitte Barataria Unit,JELA,BP 13,WGS84,29.7933998,-90.1327972
Jean Lafitte Barataria Unit,JELA,BP 14,WGS84,29.7912006,-90.1289978
Jean Lafitte Barataria Unit,JELA,BP 15,WGS84,29.7591991,-90.1289978
Jean Lafitte Barataria Unit,JELA,BP 16,WGS84,29.8031998,-90.1131973
Jean Lafitte Barataria Unit,JELA,BP 17,WGS84,29.7896004,-90.1203003
Jean Lafitte Barataria Unit,JELA,BP 18,WGS84,29.8561993,-90.1203003
Jean Lafitte Barataria Unit,JELA,BP 19,WGS84,29.7817001,-90.110199
Jean Lafitte Barataria Unit,JELA,BP 20,WGS84,29.7642002,-90.1036987
Jean Lafitte Barataria Unit,JELA,BP 21,WGS84,29.8180008,-90.0823975
Jean Lafitte Barataria Unit,JELA,BP 22,WGS84,29.8213005,-90.0827026
Jean Lafitte Barataria Unit,JELA,BP 23,WGS84,29.8008003,-90.1155014
Jean Lafitte Barataria Unit,JELA,BP 24,WGS84,29.7926998,-90.1160965
Jean Lafitte Barataria Unit,JELA,BP 25,WGS84,29.7633991,-90.1092987
Jean Lafitte Barataria Unit,JELA,BP 26,WGS84,29.7882996,-90.1082001
Jean Lafitte Barataria Unit,JELA,BP 27,WGS84,29.7957993,-90.1343002
Jean Lafitte Barataria Unit,JELA,BP 28,WGS84,29.8076992,-90.1259003
Jean Lafitte Barataria Unit,JELA,BP 29,WGS84,29.8108997,-90.1164017
Jean Lafitte Barataria Unit,JELA,BP 30,WGS84,29.7490997,-90.1427994
Jean Lafitte Barataria Unit,JELA,BP 31,WGS84,29.7852993,-90.1057968
Jean Lafitte Barataria Unit,JELA,BP 32,WGS84,29.7840996,-90.1120987
Jean Lafitte Barataria Unit,JELA,BP 33,WGS84,29.8057003,-90.1139984
Jean Lafitte Barataria Unit,JELA,BP 34,WGS84,29.8346996,-90.1175995
Jean Lafitte Barataria Unit,JELA,BP 35,WGS84,29.8717995,-90.1327972
Jean Lafitte Barataria Unit,JELA,BP 36,WGS84,29.7814007,-90.1044998
Jean Lafitte Barataria Unit,JELA,BP 37,WGS84,29.8659,-90.1169968
Jean Lafitte Barataria Unit,JELA,BP 38,WGS84,29.7950001,-90.0931015
Jean Lafitte Barataria Unit,JELA,BP 39,WGS84,29.7861996,-90.1183014
Jean Lafitte Barataria Unit,JELA,BP 40,WGS84,29.8017006,-90.1091003
Gulf Islands Florida Unit,GUIS,GUISFL01,WGS84,30.3537006,-87.035202
Gulf Islands Florida Unit,GUIS,GUISFL10,WGS84,30.3731003,-86.9276962
Gulf Islands Florida Unit,GUIS,GUISFL11,WGS84,30.3584995,-87.0001984
Gulf Islands Florida Unit,GUIS,GUISFL12,WGS84,30.3654003,-87.1509018
Gulf Islands Florida Unit,GUIS,GUISFL13,WGS84,30.3691998,-87.1222
Gulf Islands Florida Unit,GUIS,GUISFL14,WGS84,30.3796997,-87.1216965
Gulf Islands Florida Unit,GUIS,GUISFL15,WGS84,30.3738995,-87.1296997
Gulf Islands Florida Unit,GUIS,GUISFL16,WGS84,30.3707008,-87.1264038
Gulf Islands Florida Unit,GUIS,GUISFL17,WGS84,30.3637009,-87.1486969
Gulf Islands Florida Unit,GUIS,GUISFL18,WGS84,30.3689995,-87.1194
Gulf Islands Florida Unit,GUIS,GUISFL19,WGS84,30.3722,-87.1331024
