Network,LocationName,Date,Time,Weather_Wind,Weather_Temperature,Weather_Sky,Weather_CountSeason,Weather_TemperatureUnits,Weather_BackgroundNoise,Researcher
NPSGULFCOASTNETWORK,SAAN12,5/30/2021,,0,78,2,PC,F,2,"Sculley,  Mike"
NPSGULFCOASTNETWORK,SAAN37,5/26/2012,8:29:00,2,78.8,1,PC,F,1,"Sculley,  Mike"
NPSGULFCOASTNETWORK,GUISFL24,6/3/2021,4:15:00,2,75,1,PC,F,2,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL23,6/2/2021,5:15:00,0,73,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL23,6/5/2021,5:16:00,0,75,1,PC,F,2,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL12,6/6/2021,5:18:00,3,81,2,PC,F,2,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISMS22,6/9/2017,5:21:00,1,70,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISMS19,6/8/2017,5:23:00,3,69,0,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL16,5/14/2019,5:24:00,2,66,0,PC,F,2,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISMS19,6/20/2018,5:25:00,0,80,2,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISMS34,6/30/2019,5:25:00,0,75,1,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL23,5/9/2019,5:27:00,3,76,0,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL10,5/10/2018,5:28:00,0,73,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL16,5/10/2019,5:28:00,1,73,0,PC,F,2,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VO10,5/30/2015,5:30:00,1,74,0,PC,F,NA,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISFL10,5/8/2017,5:30:00,0,64,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISMS34,5/23/2021,5:30:00,0,65,0,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL26,6/3/2021,5:30:00,0,76,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL18,5/6/2017,5:31:00,0,60,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VM14,6/25/2020,5:32:00,0,70,1,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISMS03,6/21/2018,5:34:00,4,82,2,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL23,5/13/2019,5:34:00,2,70,2,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL10,6/22/2013,5:35:00,1,75.2,0,PC,F,0,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,GUISFL42,5/13/2018,5:35:00,2,68,0,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISMS34,6/21/2019,5:35:00,0,82,2,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL34,6/30/2012,5:36:00,2,80.6,0,PC,F,0,"Walker,  Jake"
NPSGULFCOASTNETWORK,GUISFL23,5/12/2018,5:36:00,1,,0,PC,F,2,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VF36,5/29/2020,5:36:00,0,68,1,PC,F,1,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISMS34,5/8/2021,5:36:00,0,58,0,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,GUISFL13,6/23/2012,5:38:00,0,84.2,1,PC,F,1,"Walker,  Jake"
NPSGULFCOASTNETWORK,GUISFL40,6/23/2013,5:38:00,1,78.8,0,PC,F,0,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,GUISMS09,6/9/2017,5:38:00,0,70,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VF57,5/26/2021,5:38:00,0,65,1,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VO10,6/10/2010,5:39:00,0,78,1,PC,F,0,"Ayala, Andrea"
NPSGULFCOASTNETWORK,GUISMS33,6/4/2016,5:39:00,1,76,1,PC,F,1,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,GUISMS34,6/22/2018,5:39:00,0,81,0,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,BP 41,6/4/2021,5:39:00,0,73,2,PC,F,0,"Yaukey,  Peter"
NPSGULFCOASTNETWORK,GUISFL44,5/7/2017,5:40:00,2,65,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VM14,6/7/2018,5:40:00,0,68,0,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VE106,5/30/2020,5:40:00,0,65,0,PC,F,1,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISMS29,6/19/2012,5:41:00,0,78.8,0,PC,F,1,"Walker,  Jake"
NPSGULFCOASTNETWORK,GUISFL32,6/17/2013,5:41:00,0,73.4,1,PC,F,1,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,GUISMS31,6/7/2017,5:41:00,0,72,3,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VM15,5/25/2010,5:42:00,0,68,1,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VM14,5/28/2015,5:42:00,1,66,0,PC,F,1,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISMS39,6/30/2019,5:42:00,0,75,1,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VM54,5/21/2014,5:43:00,0,65,0,PC,F,1,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISFL10,6/15/2015,5:43:00,1,77,0,PC,F,0,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,GUISFL17,6/6/2021,5:44:00,2,81,2,PC,F,2,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VM07,5/27/2015,5:45:00,1,71,1,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VF08,6/12/2019,5:45:00,0,61,2,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VM29,5/29/2010,5:46:00,2,68,0,PC,F,1,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VO10,5/28/2013,5:46:00,0,69,0,PC,F,1,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISFL03,6/10/2016,5:46:00,0,73,0,PC,F,0,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,GUISFL47,5/14/2019,5:46:00,2,67,0,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VM53,6/13/2019,5:46:00,0,64,0,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VF17,6/26/2020,5:46:00,0,70,2,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISMS33,6/1/2014,5:47:00,2,74,1,PC,F,0,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,VM40,5/19/2010,5:48:00,4,64,0,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISFL43,6/15/2014,5:48:00,0,75,0,PC,F,0,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,BP 20,5/27/2014,5:49:00,0,71,2,PC,F,0,"Yaukey,  Peter"
NPSGULFCOASTNETWORK,VO15,5/30/2015,5:49:00,1,74,0,PC,F,NA,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISMS31,6/7/2015,5:49:00,0,74,1,PC,F,NA,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,GUISMS31,6/7/2015,5:49:00,0,74,1,PC,F,0,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,GUISFL17,6/12/2016,5:49:00,0,76,2,PC,F,1,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,VE110,5/28/2020,5:49:00,0,65,0,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VO10,5/13/2010,5:50:00,1,68,1,PC,F,1,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISFL18,6/13/2015,5:50:00,3,78,1,PC,F,0,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,VF08,6/6/2018,5:50:00,0,65,0,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VF12,6/8/2018,5:50:00,0,68,0,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISMS39,5/8/2021,5:50:00,0,59,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VM05,5/20/2021,5:50:00,1,66,1,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VM29,6/17/2010,5:51:00,0,87,0,PC,F,0,"Ayala, Andrea"
NPSGULFCOASTNETWORK,VM53,6/4/2014,5:51:00,0,,2,PC,F,NA,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VF36,6/25/2020,5:51:00,0,70,1,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VM53,5/27/2021,5:51:00,0,70,1,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,SAAN19,5/24/2013,5:52:00,3,75.2,2,PC,F,2,"Sculley,  Mike"
NPSGULFCOASTNETWORK,VO08,6/29/2017,5:52:00,0,73,2,PC,F,0,"Twedt, Aaren"
NPSGULFCOASTNETWORK,VM06,6/9/2010,5:53:00,0,78,0,PC,F,0,"Ayala, Andrea"
NPSGULFCOASTNETWORK,VM14,6/14/2010,5:53:00,0,82,0,PC,F,0,"Ayala, Andrea"
NPSGULFCOASTNETWORK,VF29,6/21/2010,5:53:00,0,84,1,PC,F,0,"Ayala, Andrea"
NPSGULFCOASTNETWORK,VF08,5/29/2019,5:53:00,0,70,1,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISMS12,6/28/2012,5:54:00,0,84.2,1,PC,F,0,"Walker,  Jake"
NPSGULFCOASTNETWORK,GUISFL02,5/8/2017,5:54:00,0,64,0,PC,F,0,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VM41,6/14/2019,5:54:00,0,60,0,PC,F,0,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISMS39,5/23/2021,5:54:00,0,65,0,PC,F,1,"Rohnke, Adam"
NPSGULFCOASTNETWORK,VF01,5/31/2012,5:55:00,0,68,1,PC,F,2,"Twedt, Daniel"
NPSGULFCOASTNETWORK,GUISFL24,6/15/2013,5:55:00,0,69.8,1,PC,F,1,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,GUISFL29,6/11/2016,5:55:00,0,75,1,PC,F,1,"Woodrey,  Mark"
NPSGULFCOASTNETWORK,VM14,5/19/2021,5:55:00,2,68,2,PC,F,1,"Twedt, Daniel"
NPSGULFCOASTNETWORK,VM40,5/20/2014,5:56:00,0,63,0,PC,F,0,"Twedt, Daniel"
