uniq_Id,Park_Unit,Location_Name,X,Y,Active,Map_Class,Physiognomy
294,Big Thicket Turkey Creek Unit,TC01,30.5795002,-94.3422012,TRUE,Bald-cypress - Water Tupelo Floodplain Forest,Woodland and Forest
295,Big Thicket Turkey Creek Unit,TC02,30.4766998,-94.3532028,TRUE,Oak Species Mixed Hardwood Floodplain Forest,Woodland and Forest
296,Big Thicket Turkey Creek Unit,TC03,30.4687996,-94.3594971,TRUE,Oak Species Mixed Hardwood Floodplain Forest,Woodland and Forest
297,Big Thicket Turkey Creek Unit,TC04,30.5573997,-94.344902,TRUE,Oak Species Wet Mixed Hardwood Flatwoods Forest,Woodland and Forest
298,Big Thicket Turkey Creek Unit,TC05,30.5326996,-94.3392029,TRUE,Mixed Hardwoods - Loblolly Pine Floodplain Forest,Woodland and Forest
299,Big Thicket Turkey Creek Unit,TC06,30.5618,-94.3472977,TRUE,Baygall Seepage Bog,Woodland and Forest
300,Big Thicket Turkey Creek Unit,TC07,30.5221996,-94.3467026,TRUE,Mixed Hardwoods - Loblolly Pine Floodplain Forest,Woodland and Forest
301,Big Thicket Turkey Creek Unit,TC08,30.5970001,-94.3472977,TRUE,Mixed Hardwoods - Loblolly Pine Floodplain Forest,Woodland and Forest
302,Big Thicket Turkey Creek Unit,TC09,30.5506992,-94.3414001,TRUE,Oak Species Wet Mixed Hardwood Flatwoods Forest,Woodland and Forest
303,Big Thicket Turkey Creek Unit,TC10,30.6009998,-94.3560028,TRUE,Oak Species Mixed Hardwood Floodplain Forest,Woodland and Forest
304,Big Thicket Turkey Creek Unit,TC11,30.4762993,-94.3373032,TRUE,"Longleaf Pine - (Shortleaf Pine, Loblolly Pine, Slash Pine) Forest and Woodland",Woodland and Forest
305,Big Thicket Turkey Creek Unit,TC12,30.5485992,-94.344101,TRUE,Loblolly Pine - (Shortleaf Pine) Nonriverine Flatwoods Forest,Woodland and Forest
306,Big Thicket Turkey Creek Unit,TC13,30.5881996,-94.3544998,TRUE,Baygall Seepage Bog,Woodland and Forest
307,Big Thicket Turkey Creek Unit,TC14,30.5312996,-94.3431015,TRUE,Mixed Hardwoods - Loblolly Pine Floodplain Forest,Woodland and Forest
310,Big Thicket Turkey Creek Unit,TC17,30.5611992,-94.3336029,TRUE,Baygall Seepage Bog,Woodland and Forest
311,Big Thicket Turkey Creek Unit,TC18,30.5846996,-94.3358994,TRUE,"Longleaf Pine - (Shortleaf Pine, Loblolly Pine, Slash Pine) Forest and Woodland",Woodland and Forest
312,Big Thicket Turkey Creek Unit,TC19,30.4715004,-94.3476028,TRUE,Bald-cypress - Water Tupelo Floodplain Forest,Woodland and Forest
313,Big Thicket Turkey Creek Unit,TC20,30.5855007,-94.3554001,TRUE,Loblolly Pine - Mixed Hardwoods Slope and Small Stream Forest,Woodland and Forest
314,Big Thicket Turkey Creek Unit,TC21,30.5622005,-94.3393021,TRUE,Loblolly Pine - Mixed Hardwoods Slope and Small Stream Forest,Woodland and Forest
315,Big Thicket Turkey Creek Unit,TC22,30.5352993,-94.3376999,TRUE,Oak Species Mixed Hardwood Floodplain Forest,Woodland and Forest
318,Big Thicket Turkey Creek Unit,TC25,30.5459003,-94.3567963,TRUE,"Longleaf Pine - (Shortleaf Pine, Loblolly Pine, Slash Pine) Forest and Woodland",Woodland and Forest
320,Big Thicket Turkey Creek Unit,TC27,30.6119003,-94.3498001,TRUE,Oak Species Mixed Hardwood Floodplain Forest,Woodland and Forest
322,Big Thicket Turkey Creek Unit,TC29,30.5646992,-94.3331985,TRUE,"Longleaf Pine - (Shortleaf Pine, Loblolly Pine, Slash Pine) Forest and Woodland",Woodland and Forest
324,Big Thicket Turkey Creek Unit,TC31,30.5245991,-94.3368988,TRUE,Loblolly Pine - Mixed Hardwoods Slope and Small Stream Forest,Woodland and Forest
326,Big Thicket Turkey Creek Unit,TC33,30.5410004,-94.3491974,TRUE,Oak Species Wet Mixed Hardwood Flatwoods Forest,Woodland and Forest
327,Big Thicket Turkey Creek Unit,TC34,30.5534992,-94.3539963,TRUE,Loblolly Pine - (Shortleaf Pine) Nonriverine Flatwoods Forest,Woodland and Forest
328,Big Thicket Turkey Creek Unit,TC35,30.5293999,-94.3343964,TRUE,Mixed Hardwood Mesic Slope Forest,Woodland and Forest
329,Big Thicket Turkey Creek Unit,TC36,30.5645008,-94.3463974,TRUE,Mixed Hardwoods - Loblolly Pine Floodplain Forest,Woodland and Forest
