order,park,landbird?,Common Name,Latin Name,4-letter code,Present in GULN point count,‘Present’ in NPSpecies & classified as park breeding,landbird or not,food,where,guild
1778,BITH,no,Cooper's Hawk,Accipiter cooperii,COHA,no,yes,not landbird,NA,NA,NA_NA
1779,BITH,no,Sharp-shinned Hawk,Accipiter striatus,SSHA,no,yes,not landbird,NA,NA,NA_NA
1780,BITH,no,Spotted Sandpiper,Actitis macularius,SPSA,no,yes,not landbird,NA,NA,NA_NA
86,BITH,yes,Red-winged Blackbird,Agelaius phoeniceus,RWBL,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1781,BITH,no,Wood Duck,Aix sponsa,WODU,no,yes,not landbird,NA,NA,NA_NA
88,BITH,yes,Henslow's Sparrow,Ammodramus henslowii,HESP,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
91,BITH,yes,Le Conte's Sparrow,Ammodramus leconteii,LCSP,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
103,BITH,yes,Grasshopper Sparrow,Ammodramus savannarum,GRSP,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1803,BITH,no,Northern Pintail,Anas acuta,NOPI,no,no,not landbird,NA,NA,NA_NA
1804,BITH,no,American Wigeon,Anas americana,AMWI,no,no,not landbird,NA,NA,NA_NA
1805,BITH,no,Northern Shoveler,Anas clypeata,NSHO,no,no,not landbird,NA,NA,NA_NA
1806,BITH,no,Green-winged Teal,Anas crecca,GWTE,no,no,not landbird,NA,NA,NA_NA
1807,BITH,no,Cinnamon Teal,Anas cyanoptera,CITE,no,no,not landbird,NA,NA,NA_NA
1808,BITH,no,Blue-winged Teal,Anas discors,BWTE,no,no,not landbird,NA,NA,NA_NA
1800,BITH,no,Mottled Duck,Anas fulvigula,MODU,no,noa,not landbird,NA,NA,NA_NA
1809,BITH,no,Mallard,Anas platyrhynchos,MALL,no,no,not landbird,NA,NA,NA_NA
1810,BITH,no,Gadwall,Anas strepera,GADW,no,no,not landbird,NA,NA,NA_NA
1782,BITH,no,Anhinga,Anhinga anhinga,ANHI,no,yes,not landbird,NA,NA,NA_NA
1811,BITH,no,Greater White-fronted Goose,Anser albifrons,GWFG,no,no,not landbird,NA,NA,NA_NA
110,BITH,yes,American Pipit,Anthus rubescens,AMPI,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
113,BITH,yes,Sprague's Pipit,Anthus spragueii,SPPI,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
122,BITH,yes,Ruby-throated Hummingbird,Archilochus colubris,RTHU,yes,yes,,Nectarivore,NA,Nectarivore_NA
1783,BITH,no,Great Egret,Ardea alba,GREG,no,yes,not landbird,NA,NA,NA_NA
1774,BITH,no,Great Blue Heron,Ardea herodias,GBHE,yes,yes,not landbird,NA,NA,NA_NA
1812,BITH,no,Ruddy Turnstone,Arenaria interpres,RUTU,no,no,not landbird,NA,NA,NA_NA
1813,BITH,no,Short-eared Owl,Asio flammeus,SEOW,no,no,not landbird,NA,NA,NA_NA
1814,BITH,no,Long-eared Owl,Asio otus,LEOW,no,no,not landbird,NA,NA,NA_NA
1815,BITH,no,Lesser Scaup,Aythya affinis,LESC,no,no,not landbird,NA,NA,NA_NA
1816,BITH,no,Redhead,Aythya americana,REDH,no,no,not landbird,NA,NA,NA_NA
1817,BITH,no,Ring-necked Duck,Aythya collaris,RNDU,no,no,not landbird,NA,NA,NA_NA
1818,BITH,no,Greater Scaup,Aythya marila,GRSC,no,no,not landbird,NA,NA,NA_NA
1819,BITH,no,Canvasback,Aythya valisineria,CANV,no,no,not landbird,NA,NA,NA_NA
137,BITH,yes,Tufted Titmouse,Baeolophus bicolor,TUTI,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1820,BITH,no,Upland Sandpiper,Bartramia longicauda,UPSA,no,no,not landbird,NA,NA,NA_NA
144,BITH,yes,Cedar Waxwing,Bombycilla cedrorum,CEDW,no,no,,Frugivore, upper-canopy gleaner,Frugivore_ upper-canopy gleaner
1821,BITH,no,American Bittern,Botaurus lentiginosus,AMBI,no,no,not landbird,NA,NA,NA_NA
1822,BITH,no,Canada Goose,Branta canadensis,CANG,no,no,not landbird,NA,NA,NA_NA
1784,BITH,no,Great Horned Owl,Bubo virginianus,GHOW,no,yes,not landbird,NA,NA,NA_NA
1801,BITH,no,Cattle Egret,Bubulcus ibis,CAEG,no,noa,not landbird,NA,NA,NA_NA
1823,BITH,no,Bufflehead,Bucephala albeola,BUFF,no,no,not landbird,NA,NA,NA_NA
1824,BITH,no,Common Goldeneye,Bucephala clangula,COGO,no,no,not landbird,NA,NA,NA_NA
1785,BITH,no,Red-tailed Hawk,Buteo jamaicensis,RTHA,no,yes,not landbird,NA,NA,NA_NA
1775,BITH,no,Red-shouldered Hawk,Buteo lineatus,RSHA,yes,yes,not landbird,NA,NA,NA_NA
1786,BITH,no,Broad-winged Hawk,Buteo platypterus,BWHA,no,yes,not landbird,NA,NA,NA_NA
1825,BITH,no,Swainson's Hawk,Buteo swainsoni,SWHA,no,no,not landbird,NA,NA,NA_NA
1787,BITH,no,Green Heron,Butorides virescens,GRHE,no,yes,not landbird,NA,NA,NA_NA
147,BITH,yes,Lapland Longspur,Calcarius lapponicus,LALO,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1826,BITH,no,Sanderling,Calidris alba,SAND,no,no,not landbird,NA,NA,NA_NA
1827,BITH,no,Dunlin,Calidris alpina,DUNL,no,no,not landbird,NA,NA,NA_NA
1828,BITH,no,Baird's Sandpiper,Calidris bairdii,BASA,no,no,not landbird,NA,NA,NA_NA
1829,BITH,no,White-rumped Sandpiper,Calidris fuscicollis,WRSA,no,no,not landbird,NA,NA,NA_NA
1830,BITH,no,Stilt Sandpiper,Calidris himantopus,STSA,no,no,not landbird,NA,NA,NA_NA
1831,BITH,no,Western Sandpiper,Calidris mauri,WESA,no,no,not landbird,NA,NA,NA_NA
1832,BITH,no,Pectoral Sandpiper,Calidris melanotos,PESA,no,no,not landbird,NA,NA,NA_NA
