OID_,zone,ZONE_CODE,COUNT,AREA,MEAN,STD
1,Ra_01_200,1,13924,125316,0.48556572,0.257573277
2,Ra_02_200,2,13917,125253,0.318776203,0.289213668
3,Ra_03_200,3,13920,125280,0.449805756,0.278607957
4,Ra_04_200,4,13924,125316,0.29221379,0.310829815
5,Ra_05_200,5,13925,125325,0.366125176,0.279901845
6,Ra_06_200,6,13923,125307,0.281820639,0.2917537
7,Ra_01_100,7,3485,31365,0.507979905,0.251101527
8,Ra_02_100,8,3484,31356,0.284781074,0.270295849
9,Ra_03_100,9,3485,31365,0.517297609,0.249507406
10,Ra_04_100,10,3471,31239,0.396561085,0.273607869
11,Ra_05_100,11,3476,31284,0.29676828,0.261932036
12,Ra_06_100,12,3481,31329,0.397476449,0.246127352
13,Ra_01_50,13,872,7848,0.491694161,0.240584861
14,Ra_02_50,14,870,7830,0.291164825,0.297617447
15,Ra_03_50,15,873,7857,0.604287542,0.160823777
16,Ra_04_50,16,873,7857,0.496837826,0.17986776
17,Ra_05_50,17,872,7848,0.253384544,0.22198325
18,Ra_06_50,18,870,7830,0.505808707,0.180642014
19,Ba_48_200,1,13930,125370,0.00233298,0.022730311
20,Ba_34_200,2,13925,125325,0.000255368,0.005540374
21,Ba_43_200,3,13931,125379,0.000234393,0.006227382
22,Ba_36_200,4,13929,125361,0.31735115,0.264448425
23,Ba_58_200,5,13925,125325,0.119141382,0.215646638
24,Ba_16_200,6,13922,125298,0.482926172,0.279007251
25,Ba_41_200,7,13937,125433,0.01078666,0.045159376
26,Ba_05_200,8,13927,125343,0.009042262,0.051246509
27,Ba_39_200,9,13930,125370,0.005332276,0.039594693
28,Ba_51_200,10,13930,125370,0.000242987,0.005647639
29,Ba_31_200,11,13924,125316,0.001295141,0.015239542
30,Ba_09_200,12,13915,125235,0.070928704,0.171830438
31,Ba_40_200,13,13933,125397,0.151737681,0.289667846
32,Ba_10_200,14,13930,125370,0.001112212,0.013195401
33,Ba_38_200,15,13920,125280,0.001925074,0.01751764
34,Ba_15_200,16,13923,125307,0.011520812,0.061314601
35,Ba_21_200,17,12480,112320,0.007795543,0.058865939
36,Ba_54_200,18,13931,125379,0.006890289,0.052586686
37,Ba_45_200,19,13926,125334,0.018033107,0.0845371
38,Ba_08_200,20,13931,125379,0.014326962,0.073188636
39,Ba_06_200,21,13927,125343,0.025225055,0.112638653
40,Ba_26_200,22,13934,125406,0.499848321,0.201424608
41,Ba_22_200,23,13930,125370,0.326256121,0.261381542
42,Ba_12_200,24,13932,125388,0.427444006,0.23925416
43,Ba_04_200,25,13925,125325,0.20975835,0.278100014
44,Ba_55_200,26,13932,125388,0.143833253,0.244252562
45,Ba_33_200,27,13935,125415,0.246156709,0.284553883
46,Ba_49_200,28,13930,125370,0.445512312,0.271631911
